feature	SOKP01	Cutibacterium	Streptomyces	Bifidobacterium	Bifidobacterium.1	Microbacterium	NM07.P.09	Deinococcus	Pseudomonas_E	Pseudomonas	Halomonas	Acidibacter	ZC4RG30	Methylophaga	Thiomicrorhabdus	Hylemonella	Variovorax	Limnohabitans	Acidovorax	Pelomonas	Aquabacterium	Aquabacterium.1	Aquincola	Lautropia	Undibacterium	Massilia	Herbaspirillum	Herbaspirillum.1	Ralstonia	Neisseria	Moraxella_A	Moraxella	Acinetobacter	Klebsiella	Vibrio	Brevundimonas	Caulobacter	Tardiphaga	Bradyrhizobium	Methylobacterium.Methylorubrum	Methylobacterium	Bosea	Nereida	HIMB11	Phaeobacter	Erythrobacter	Qipengyuania	Novosphingobium	Sphingomonas	Pelagibacter	VGCI01	Rikenella	Odoribacter	Alistipes	Phocaeicola	Bacteroides	Prevotella	Cryptobacteroides	Desulfovibrio	Desulfovibrio.1	Desulfovibrio.2	Mucispirillum	Fimbriiglobus	Dysosmobacter	Pelethomonas	Enterenecus	Neglecta	Eubacterium_R	HGM12619	UBA3282	COE1	Lachnospiraceae.NK4A136.group	Gemella	Ligilactobacillus	Lactobacillus	Clostridium	Turicibacter	Staphylococcus	Priestia	Niallia	Rossellomorea	Anaerobacillus	Ileibacterium	Dubosiella	Faecalibaculum	Stenotrophomonas	Lacticaseibacillus	Duncaniella	CAG.485	Duncaniella.1	UBA7173	Paramuribaculum	Muribaculum	Streptococcus
31CT4.fastq	641	0	5	94	0	0	0	0	1672	5673	36	0	0	0	25	69	0	38	0	0	13	88	20	0	17	118	0	0	23	0	0	1618	769	33	64	0	62	0	11	0	15	0	0	0	34	32	41	49	52	0	0	0	43	11	122	0	0	249	30	71	69	6	29	23	0	37	0	57	0	122	0	600	29	59	310	0	25	6	1058	27	109	0	0	93	425	0	43	135	0	39	0	23	127	39
77LT18.fastq	109	40	0	0	82	0	62	0	3225	9118	291	0	5	80	39	0	55	0	0	0	0	0	12	0	0	171	0	34	162	0	0	134	3378	0	0	0	23	0	23	11	72	14	76	114	0	67	0	283	129	0	27	0	465	39	59	0	0	440	56	65	202	0	20	0	0	0	0	0	0	91	15	331	0	64	979	10	0	0	0	0	0	0	94	34	64	0	58	444	322	0	0	25	170	0
51HT6.fastq	34	77	0	0	0	0	0	21	1332	2066	96	0	0	43	65	0	0	0	10	89	15	23	0	0	7	143	6	0	78	40	0	0	499	0	0	0	38	0	2	0	21	0	17	0	0	0	4	41	13	0	0	6	60	0	18	0	21	67	11	26	39	13	0	0	0	0	26	31	4	125	0	107	0	11	411	0	0	0	348	0	0	0	37	100	117	13	0	107	0	0	0	97	18	0
53HT6.fastq	0	289	0	0	0	276	0	221	825	9420	384	0	0	0	0	0	0	0	0	133	0	70	0	0	0	1222	96	0	922	0	0	0	13893	0	0	0	28	0	153	0	27	0	0	0	0	0	11	175	18	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2824	0	273	0	0	107	0	134	0	244	0	0	0	0	201	0
54HT6.fastq	0	96	0	0	0	0	0	153	292	1154	0	157	135	0	0	0	0	0	301	1007	0	800	0	0	0	1506	43	120	1211	0	0	0	7804	0	0	0	0	0	958	4	54	0	0	0	0	0	0	49	383	0	0	0	0	0	0	0	0	0	0	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105LT11.fastq	7	0	0	0	26	0	0	34	6120	15942	36	5	0	7	0	19	0	0	0	0	0	5	0	4	7	24	0	25	37	0	0	0	2794	6	0	0	0	0	0	6	0	0	0	0	0	0	0	11	13	0	0	0	37	0	12	0	0	50	0	0	9	0	0	0	0	0	0	0	0	65	0	48	0	0	99	0	0	0	96	0	53	0	14	4	19	0	14	16	26	0	0	0	0	0
56HT17.fastq	609	0	0	1114	0	0	0	0	1618	3962	0	672	27	0	0	0	129	0	339	0	0	0	0	0	0	320	0	0	441	0	0	0	4662	0	375	0	0	0	222	467	49	0	1156	0	0	0	0	386	56	0	0	0	988	0	0	0	0	1143	0	0	1133	0	0	0	0	321	0	0	0	0	0	1341	0	0	7	0	0	0	2331	416	60	0	0	0	0	0	0	94	0	0	0	0	88	0
108LT12.fastq	21	0	0	0	0	0	0	0	5779	17189	0	0	0	7	0	16	0	0	0	0	0	154	0	0	17	50	12	0	32	0	0	0	1038	0	0	0	0	0	0	0	7	0	0	368	0	0	0	4	13	441	0	0	0	0	0	7	0	20	0	0	0	0	0	0	8	0	6	0	0	11	0	90	0	5	19	0	9	0	30	0	0	0	0	0	0	0	0	20	13	0	0	15	0	0
55HT17.fastq	0	185	89	0	0	0	0	1623	2282	3969	0	105	90	0	0	73	119	0	63	345	0	295	0	0	0	923	0	49	896	0	179	0	11916	0	0	0	79	70	270	0	796	0	0	0	0	0	0	4424	220	0	0	0	0	0	0	440	0	0	0	0	0	0	323	0	0	0	0	0	0	251	9	0	0	0	274	236	0	0	282	0	0	0	0	0	0	0	0	0	561	0	0	211	0	0
57HT17.fastq	358	0	0	0	207	0	0	843	465	4112	442	12	0	103	270	11	0	65	35	45	0	18	8	29	0	1551	26	27	312	13	0	37	3226	0	109	0	10	0	17	20	92	0	149	86	0	0	0	121	121	138	0	28	438	84	89	31	127	591	33	60	201	133	57	0	0	0	0	0	0	250	42	290	26	160	1153	99	0	0	0	0	0	20	0	71	173	18	0	424	389	0	47	145	152	0
49HT6.fastq	469	383	0	0	192	0	0	111	420	7662	278	0	24	76	183	4	0	0	0	49	0	207	0	0	84	251	0	0	43	0	0	82	413	0	319	0	0	0	0	152	22	0	138	59	0	82	0	25	80	0	0	0	608	130	0	132	64	827	0	0	218	0	11	0	0	0	0	0	0	450	117	361	0	48	1409	102	0	0	0	0	0	45	0	234	0	0	0	616	184	0	70	160	56	0
62CT7.fastq	0	0	0	0	0	5	0	232	4007	1197	0	0	10	0	0	0	0	0	0	166	67	62	38	0	0	478	124	0	697	0	16	0	4946	0	0	47	0	0	3	37	79	0	0	0	0	0	34	41	45	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0
104LT11.fastq	0	0	0	0	0	0	0	0	1027	19791	19	0	0	0	0	15	0	0	0	31	0	0	0	0	5	30	0	0	60	0	0	0	1049	0	0	0	0	3	0	5	27	0	0	0	0	0	0	45	56	0	0	8	14	3	0	3	0	30	0	0	0	0	0	0	0	0	0	0	0	76	0	12	0	0	7	32	29	0	4	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
48HT6.fastq	283	4264	0	0	0	0	0	0	258	10727	16	20	0	47	0	38	0	45	19	0	0	150	0	30	0	110	0	0	114	0	0	26	1234	11	0	0	13	0	11	10	25	0	0	0	0	0	0	46	32	0	0	23	279	16	40	67	0	64	20	97	181	9	24	25	0	37	0	0	0	68	0	44	19	67	385	21	0	13	779	13	80	0	0	203	78	0	0	841	389	0	0	674	164	0
58HT17.fastq	579	0	0	69	88	0	27	19	811	3416	138	0	6	13	52	0	22	26	0	0	0	0	0	41	0	52	0	0	32	154	0	87	2308	33	87	0	5	0	6	0	26	7	6	57	0	0	0	221	12	30	0	47	626	48	120	225	0	511	0	55	80	13	13	0	0	0	0	0	37	590	0	227	48	146	623	281	0	0	0	0	0	0	85	197	131	27	0	249	117	68	0	232	145	51
64CT7.fastq	0	42	0	0	10	0	0	235	3910	1572	0	0	44	0	35	28	0	0	24	41	23	49	412	0	23	3113	86	0	625	0	0	0	14955	0	0	0	0	0	35	0	273	0	0	40	0	0	30	33	263	0	0	0	0	0	0	0	81	72	0	0	22	0	8	0	0	0	0	0	0	45	0	93	0	0	90	78	0	0	2804	84	184	0	46	0	27	0	0	40	64	38	0	46	0	0
61CT7.fastq	664	54	0	125	181	0	0	11	192	3828	0	0	36	0	0	0	0	0	17	0	0	35	0	0	0	383	20	0	48	0	0	80	1071	36	123	0	0	0	0	64	44	0	0	0	37	0	0	57	63	0	0	0	1061	145	113	0	0	527	0	112	201	51	0	87	0	0	0	96	6	465	152	621	62	171	2419	123	53	0	0	0	0	0	0	221	505	0	0	293	114	68	126	234	315	0
63CT7.fastq	0	0	0	0	0	0	0	107	8481	3231	0	0	0	0	0	76	38	0	8	52	25	41	56	0	0	2517	14	0	605	0	48	0	10897	0	0	0	81	19	0	73	81	32	0	46	0	0	0	951	163	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	22	0	0	0	0	0	0
32CT4.fastq	283	60	0	31	122	0	0	0	127	1834	90	0	0	176	166	0	0	0	0	41	0	21	30	15	0	20	0	0	0	15	0	35	116	55	23	0	0	0	15	0	11	0	29	46	0	0	0	0	5	0	0	326	372	25	214	18	44	1076	30	353	995	43	27	14	0	46	77	136	16	159	33	676	54	130	911	0	45	0	17	0	0	10	100	240	585	0	0	383	234	91	58	268	365	251
59HT17.fastq	197	69	0	43	70	14	60	9	408	3779	53	0	9	57	97	0	0	39	0	64	0	6	0	34	7	145	0	0	65	81	0	529	1325	0	0	0	0	0	5	0	10	0	124	0	7	0	0	7	12	16	0	79	340	84	113	24	0	500	35	61	277	29	0	0	196	0	17	52	37	173	1039	579	57	70	731	12	0	16	111	0	35	26	0	205	278	15	0	554	185	78	0	217	102	154
60HT17.fastq	28	83	0	0	20	0	0	0	224	1753	39	0	0	11	39	0	0	6	11	25	0	0	0	0	0	14	0	6	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	7	20	0	6	78	38	16	0	0	58	10	0	36	5	0	0	7	0	0	0	0	36	0	112	0	0	211	6	9	0	0	0	0	0	19	23	9	0	0	74	45	16	0	105	17	0
52HT6.fastq	62	15	0	0	38	0	7	5	275	1396	12	0	0	7	0	0	0	13	0	14	0	0	0	0	3	0	0	0	0	27	0	46	245	26	0	0	4	0	0	0	0	0	0	0	0	3	0	7	0	0	0	70	911	73	167	24	0	797	0	26	66	11	0	41	60	13	0	23	9	64	13	153	22	97	6747	0	12	23	0	0	0	3	46	76	154	15	0	82	84	29	5	121	86	168
72HT8.fastq	0	0	0	2	0	0	0	356	2784	1666	19	7	0	0	0	108	65	0	0	47	0	0	0	0	0	795	0	0	434	0	0	0	16420	0	0	0	0	7	0	10	70	9	0	0	0	0	0	290	44	0	0	0	0	0	0	13	0	122	0	0	0	0	0	0	0	0	0	0	0	10	0	67	7	4	258	0	0	0	0	0	0	0	0	28	0	0	0	0	0	6	0	36	12	0
70HT8.fastq	0	24	0	0	0	18	0	66	4857	3142	0	0	12	260	124	0	0	0	0	107	0	27	0	0	0	133	7	0	102	0	0	0	14094	0	0	0	0	0	92	76	0	0	0	0	0	0	51	77	85	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	457	0	0	0	3931	105	173	0	0	103	0	0	0	0	0	0	0	150	0	0
74HT8.fastq	47	29	18	0	0	0	0	0	7848	3527	141	9	18	42	0	11	134	0	11	149	0	14	0	0	0	151	0	0	218	0	16	0	2173	29	0	0	54	44	19	81	151	39	0	0	0	0	0	996	91	0	0	24	123	0	39	0	0	144	17	28	78	0	4	10	0	0	0	0	0	21	0	99	0	0	372	64	19	0	9	0	0	0	11	58	56	0	11	128	24	0	0	0	34	0
82CT9.fastq	10	0	0	0	22	0	0	0	1847	2294	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11
87CT9.fastq	0	0	0	0	0	0	2	0	353	7953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93HT10.fastq	6	0	0	0	0	0	0	0	81	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	14	15	0	0	0	61	0	11	0	3	0	0	0	0	0	0	0	6	0	27	0	0	66	0	0	0	0	0	0	0	0	7	0	4	0	27	13	0	0	7	0	0
68HT8.fastq	0	0	0	0	0	0	0	14	40	54	0	0	0	0	0	15	0	0	5	0	0	35	0	0	0	86	7	0	24	0	0	8	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	8	0	0	0	0	0	20	0	0	0	0	0	0	5	0	0
92HT10.fastq	5	0	0	0	0	0	0	0	224	118	0	0	0	0	0	5	0	0	0	0	0	11	0	0	4	0	0	0	6	0	0	0	99	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	23	171	0	7	25	14	82	0	36	73	0	0	0	5	0	0	0	0	46	0	25	0	56	428	0	0	0	0	0	0	0	0	0	15	551	0	765	253	5	45	173	307	0
