Treatment,Trial,Arena,Fish_ID,Tank_ID,Batch,Body_mass,Body_length,Velocity,notes,Distance_moved,Time_moving,Time_not_moving,Arena_freq,Time_arena,Shelter_freq,Time_shelter,Distance_shelter,total_wbc,N-L_ratio,Lymphocyte,Neutrophil,Monocyte
low,Trial    14,Arena 1,108,12,Batch 6,0.6155,3.39,0,not came out,0,0,0,0,0,0,1200,0,26,1.106382979,47,52,1
low,Trial    22,Arena 2,111,12,Batch 6,0.5509,3.25,0,not came out,0,0,0,0,0,0,1200,0,27,1.152173913,46,53,1
low,Trial    30,Arena 3,114,12,Batch 6,0.2827,2.65,0,not came out,0,0,0,0,0,0,1200,0,26,0.754385965,57,43,
high,Trial    38,Arena 3,118,22,Batch 6,0.5306,3.21,0,not came out,0,0,0,0,0,0,1200,0,25,0.449275362,69,31,
high,Trial    38,Arena 1,120,22,Batch 6,0.4921,3.21,0,not came out,0,0,0,0,0,0,1200,0,29,0.190476191,84,16,
high,Trial     7,Arena3,122,13,Batch 7,0.8686,3.8,0,not came out,0,0,0,0,0,0,1200,0,37,0.369863014,73,27,
high,Trial     7,Arena 1,124,13,Batch 7,0.6435,3.3,0,not came out,0,0,0,0,0,0,1200,0,27,0.204819277,83,17,
high,Trial    15,Arena 3,126,13,Batch 7,0.797,3.5,0,not came out,0,0,0,0,0,0,1200,0,35,0.492537313,67,33,
high,Trial    15,Arena 2,127,13,Batch 7,0.667,3.4,0,not came out,0,0,0,0,0,0,1200,0,29,0.219512195,82,18,
high,Trial    39,Arena 2,139,23,Batch 7,0.4828,3.2,0,not came out,0,0,0,0,0,0,1200,0,24,0.492537313,67,33,
low,Trial     8,Arena 4,141,19,Batch 8,0.755,3.5,0,not came out,0,0,0,0,0,0,1200,0,19,0.785714286,56,44,
low,Trial     8,Arena 3,142,19,Batch 8,0.817,3.7,0,not came out,0,0,0,0,0,0,1200,0,19,0.818181818,55,45,
low,Trial     8,Arena 2,143,19,Batch 8,0.5685,3.2,0,not came out,0,0,0,0,0,0,1200,0,35,0.851851852,54,46,
Control,Trial    32,Arena 4,153,20,Batch 8,1.12,4.1,0,not came out,0,0,0,0,0,0,1200,0,60,0.123595506,89,11,
Control,Trial    32,Arena 2,155,24,Batch 8,0.4091,2.8,0,not came out,0,0,0,0,0,0,1200,0,74,0.207317073,82,17,1
Control,Trial    40,Arena 2,159,24,Batch 8,0.4621,3.1,0,not came out,0,0,0,0,0,0,1200,0,33,0.111111111,90,10,
Control,Trial    40,Arena 1,160,24,Batch 8,0.5081,3.2,0,not came out,0,0,0,0,0,0,1200,0,43,0.265822785,79,21,
low,Trial     9,Arena 3,6,1,Batch 1,0.769,3.7,0.131663,,157.995,1.8,1198.2,1,1200,5,0,0.0103312,62,1.666666667,36,60,4
low,Trial     6,Arena 1,104,11,Batch 6,0.8298,3.75,0.14083,,160.874,0.666666,1144.67,4,1146.67,5,53.33,3.1139,32,0.754385965,57,43,
Control,Trial     4,Arena 3,62,7,Batch 4,0.4198,3.09,0.149139,,178.718,0,1199.33,2,1200,0,0,17.1776,39,0.53125,64,34,2
low,Trial     9,Arena 2,7,1,Batch 1,0.5568,3.3,0.199969,,239.963,9.6,1190.4,1,1200,2,0,0.000491269,34,0.830188679,53,44,3
Control,Trial    10,Arena 1,28,4,Batch 2,0.7466,3.59,0.228065,,35.122,0,161.667,8,166.666,9,1033.334,0.346993,35,0.587301587,63,37,
high,Trial     2,Arena 4,21,3,Batch 2,0.5118,3.2,0.230406,,64.099,0.6,279.8,4,281.4,5,918.6,11.4204,43,0.137931035,87,12,1
low,Trial     6,Arena 2,103,11,Batch 6,0.825,3.8,0.250126,,188.761,3.66666,773.999,23,785.333,0,414.667,7.60785,26,0.923076923,52,48,
low,Trial     6,Arena 4,101,11,Batch 6,0.4067,2.89,0.2669,,158.894,2.33333,595.999,3,599.333,5,600.667,9.36245,30,0.666666667,60,40,
high,Trial    19,Arena 3,50,6,Batch 3,0.5683,3.21,0.34882,,3.18589,0.033333,9.49999,5,9.86666,1,1190.13334,0.2033,20,0.47761194,67,32,1
Control,Trial     3,Arena 1,44,5,Batch 3,0.6208,3.4,0.358509,,1.79254,0,6.99999,3,8.66666,4,1191.33334,0.0211946,54,0.298701299,77,23,
Control,Trial    24,Arena 4,149,20,Batch 8,0.6795,3.5,0.369864,,34.2247,0.166667,94.0666,17,95.7332,2,1104.2668,0.447684,46,0.282051282,78,22,
Control,Trial    31,Arena 3,134,15,Batch 7,0.4571,3.1,0.422541,,1.28171,0.066667,3.13333,2,3.26666,1,1196.73334,0.569688,44,0.136363636,88,12,
Control,Trial     5,Arena 1,84,9,Batch 5,0.4898,3.16,0.43864,,494.785,65.6666,1094.33,16,1178.33,3,21.67,9.51615,58,0.256410256,78,20,2
high,Trial    15,Arena 4,125,13,Batch 7,0.8105,3.7,0.440486,,111.399,0.766666,255.266,24,257.3,1,942.7,0.148225,22,0.369863014,73,27,
Control,Trial    33,Arena 1,20,16,Batch 1,0.4651,3.1,0.456645,,547.989,12.9,1187.13,1,1200,0,0,16.9321,60,0.185185185,81,15,4
low,Trial     9,Arena 1,8,2,Batch 1,0.446,3.02,0.473642,,276.702,14.6,572.6,5,588.2,10,611.8,0.0444754,35,0.960784314,51,49,
low,Trial    34,Arena 3,38,14,Batch 2,0.7399,3.53,0.57291,,167.824,6.69999,286.5,1,293.333,0,906.667,8.6517,55,1,44,44,12
Control,Trial     4,Arena 2,63,7,Batch 4,1.0326,4,0.580766,,7.74353,1.66666,13.3333,2,16,0,1184,1.6076,29,0.219512195,82,18,
low,Trial    22,Arena 4,109,12,Batch 6,0.4212,3.02,0.586479,,239.889,15.9333,393.2,1,409.166,0,790.834,13.7598,33,0.706896552,58,41,1
Control,Trial    33,Arena 4,17,16,Batch 1,0.75,3.71,0.600388,,22.1343,1.59999,36.0333,5,38.4333,0,1161.5667,0.619056,31,0.371428571,70,26,4
low,Trial     1,Arena 2,3,1,Batch 1,0.5586,3.18,0.607509,,322.587,50.8,490.6,19,546,0,654,3.56083,37,1.175,40,47,13
high,Trial    19,Arena 4,49,6,Batch 3,0.4174,3.05,0.616541,,649.094,40.7,1012.3,2,1053.07,1,146.93,11.5256,43,0.302631579,76,23,1
Control,Trial     3,Arena 4,41,5,Batch 3,0.3871,2.87,0.617361,,22.4308,1.33333,48.3333,11,55.6666,0,1144.3334,0.90588,60,0.25,80,20,
Control,Trial    18,Arena 2,31,4,Batch 2,0.6481,3.4,0.620999,,70.2556,3.36666,110.433,6,114.367,0,1085.633,6.63645,64,0.283783784,74,21,5
high,Trial    21,Arena 1,92,10,Batch 5,0.3939,2.91,0.622867,,31.0188,3.23333,47.3333,6,50.9333,14,1149.0667,1.75867,28,0.394366197,71,28,1
high,Trial    20,Arena 4,69,8,Batch 4,0.488,2.96,0.623232,,747.899,34.1333,1165.9,1,1200,0,0,16.9398,27,0.204819277,83,17,
high,Trial     7,Arena 4,121,13,Batch 7,0.5752,3.3,0.638489,,616.78,76.6666,902.999,15,984.999,1,215.001,6.63373,36,0.666666667,60,40,
low,Trial    26,Arena 1,36,14,Batch 2,0.8179,3.69,0.643315,,450.942,29.3,672.366,7,701.999,0,498.001,12.6321,51,1.0625,48,51,1
Control,Trial    24,Arena 2,151,20,Batch 8,0.6023,3.25,0.64546,,433.921,24.2333,648.399,4,673.033,0,526.967,14.8837,61,0.162790698,86,14,
Control,Trial    31,Arena 4,133,15,Batch 7,0.708,3.6,0.663998,,314.314,14.8333,458.8,2,473.766,1,726.234,3.80088,33,0.204819277,83,17,
high,Trial    12,Arena 1,68,8,Batch 4,0.5771,3.2,0.680563,,75.4516,4,108.7,16,114.3,22,1085.7,1.03941,37,0.234567901,81,19,
Control,Trial    15,Arena 1,128,15,Batch 7,0.4838,3.1,0.686162,,817.516,57.0333,1134.4,1,1191.47,0,8.53,11.6436,40,0.190476191,84,16,
low,Trial    25,Arena 4,13,2,Batch 1,0.471,3.11,0.700631,,840.78,55.4666,1144.57,1,1200,0,0,16.4876,66,0.959183674,49,47,3
low,Trial    26,Arena 2,35,14,Batch 2,0.548,3.26,0.713803,,440.725,34.8,582.733,1,617.566,1,582.434,4.62386,47,1,50,50,
low,Trial     1,Arena 1,4,1,Batch 1,0.4825,3.1,0.71565,,79.0077,7.2,115.2,22,128,31,1072,1.17316,50,1.666666667,33,55,12
low,Trial     6,Arena 3,102,11,Batch 6,0.7456,3.78,0.778714,,320.83,54.3333,367.666,10,425.333,8,774.667,5.72094,28,0.706896552,58,41,1
high,Trial    35,Arena 1,60,17,Batch 3,0.4724,3,0.785108,,153.62,3.09999,194.766,23,199.3,32,1000.7,10.4622,26,0.269230769,78,21,1
Control,Trial    18,Arena 3,30,4,Batch 2,0.6112,3.39,0.785202,,44.1021,4.29999,53.3333,15,58.6999,12,1141.3001,1.51839,45,0.655172414,58,38,4
high,Trial    20,Arena 3,70,8,Batch 4,1.2635,4.19,0.78983,,123.398,12.5333,144.833,11,157.867,4,1042.133,9.23481,31,0.190476191,84,16,
high,Trial    27,Arena 1,56,17,Batch 3,0.915,4,0.847683,,549.496,56.9666,593.366,20,652.033,0,547.967,15.1875,39,0.137931035,87,12,1
high,Trial    13,Arena 1,88,10,Batch 5,0.4985,3.17,0.85623,,1013.38,120,1063.83,4,1184.3,6,15.7,11.6791,22,0.315789474,76,24,
low,Trial    14,Arena 4,105,11,Batch 6,0.7824,3.62,0.857206,,542.897,62.6666,572.099,15,635.733,0,564.267,7.16086,31,0.455882353,68,31,1
high,Trial    27,Arena 2,55,17,Batch 3,0.9504,3.92,0.873112,,52.2121,5.76667,54.1333,2,60.0666,6,1139.9334,1.31523,44,0.484848485,66,32,2
high,Trial    21,Arena 2,91,10,Batch 5,0.6245,3.4,0.877464,,314.278,35.3333,327.933,36,365.4,0,834.6,3.8898,35,0.266666667,75,20,5
low,Trial    36,Arena 2,79,18,Batch 4,0.4697,3.1,0.878642,,99.2162,11.5,101.64,2,113.22,0,1086.78,4.42976,36,0.65,60,39,1
Control,Trial    12,Arena 2,67,7,Batch 4,0.4172,2.9,0.897811,,16.9387,1.56666,17.5,2,19.2333,0,1180.7667,5.45783,41,0.180722892,83,15,2
low,Trial    14,Arena 3,106,11,Batch 6,0.4936,3.2,0.901566,,1078.81,151.433,1045.6,4,1197.17,0,2.83,14.0696,23,0.666666667,60,40,
low,Trial    28,Arena 1,76,18,Batch 4,0.7305,3.59,0.909722,,256.572,30.8333,251.666,3,282.6,0,917.4,8.69244,40,0.65,60,39,1
Control,Trial    11,Arena 4,45,5,Batch 3,0.9308,3.95,0.927369,,62.7519,6.83332,61.0333,2,68.1999,0,1131.8001,13.7918,62,0.098901099,91,9,
low,Trial    16,Arena 3,146,19,Batch 8,0.39,3,0.931096,,43.5752,4.46666,44.3,14,49.6333,1,1150.3667,2.11127,59,0.724137931,58,42,
high,Trial    20,Arena 1,72,8,Batch 4,0.4042,2.78,0.963065,,287.828,35.7333,265.433,19,302.233,4,897.767,2.46572,28,0.156626506,83,13,4
Control,Trial    25,Arena 1,16,16,Batch 1,0.887,3.88,0.965348,,999.682,156.933,879.599,7,1037.3,2,162.7,8.51807,46,0.557377049,61,34,5
Control,Trial    16,Arena 1,148,20,Batch 8,0.6213,3.3,0.985528,,236.494,28.3333,214.066,25,243.6,54,956.4,1.51137,40,0.149425287,87,13,
high,Trial    20,Arena 2,71,8,Batch 4,0.5149,3.18,1.0214,,348.909,43.1999,300.166,17,344.3,0,855.7,4.99167,29,0.127906977,86,11,3
high,Trial    31,Arena 1,136,23,Batch 7,0.4664,3,1.02897,,2.67531,0.133334,2.56666,2,2.76666,1,1197.23334,0.33733,33,0.219512195,82,18,
high,Trial    38,Arena 2,119,22,Batch 6,0.5534,3.3,1.03702,,48.9816,3.83333,43.9666,7,48.3,9,1151.7,0.906568,32,0.176470588,85,15,
high,Trial    29,Arena 4,93,10,Batch 5,0.422,3,1.06605,,1126.71,151.367,917.466,73,1075.97,0,124.03,17.5544,51,0.282051282,78,22,
Control,Trial    11,Arena 2,47,5,Batch 3,0.4443,2.99,1.07203,,148.655,18.4333,120.733,5,139.333,0,1060.667,7.97437,64,0.136363636,88,12,
high,Trial     2,Arena 1,24,3,Batch 2,0.5211,3.29,1.07733,,160.307,23.6,137,20,166.2,11,1033.8,3.32,39,0.202531646,79,16,5
