feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,approximate_fold_change,direction
Desulfovibrio,treatment,High,-0.263352300957103,0.486518460979842,121,19,0.595492772270265,0.971804922352164,0.7684711165059415,Lower than Control
Pelethomonas,treatment,High,0.156332248733746,0.290216685547407,121,13,0.596839342190566,0.971804922352164,1.1692146086358672,Higher than Control
Ralstonia,treatment,Low,0.707079052335769,1.34280926866238,121,97,0.604752490645005,0.971804922352164,2.028058745129475,Higher than Control
Muribaculum,treatment,Low,0.50989517561602,0.967579887522399,121,49,0.604856728115437,0.971804922352164,1.665116640971145,Higher than Control
Caulobacter,treatment,High,0.305461459751192,0.583761449974971,121,55,0.607993696768257,0.971804922352164,1.3572511753081178,Higher than Control
Bradyrhizobium,treatment,Low,0.627188490411277,1.22532994696981,121,41,0.615256585352925,0.971804922352164,1.8723390730344325,Higher than Control
Pseudomonas,treatment,High,-0.244451889426972,0.487357438160205,121,121,0.622152232483425,0.971804922352164,0.7831336644684032,Lower than Control
VGCI01,treatment,Low,0.194878303038873,0.39022436279142,121,14,0.624336393120862,0.971804922352164,1.2151630958349549,Higher than Control
Pelethomonas,treatment,Low,0.158574803591902,0.318061895409516,121,13,0.624360712243105,0.971804922352164,1.171839578756346,Higher than Control
Nereida,treatment,High,0.327460686299376,0.659711408209248,121,26,0.625898721813914,0.971804922352164,1.3874405048051275,Higher than Control
Sphingomonas,treatment,High,0.598238611627417,1.22764410229381,121,96,0.632252367529293,0.971804922352164,1.8189121664149814,Higher than Control
UBA7173,treatment,High,0.135750584274954,0.284922469046177,121,14,0.634644212476221,0.971804922352164,1.1453961781471427,Higher than Control
Moraxella,treatment,Low,-0.398429504292558,0.843681332588361,121,30,0.642947354461706,0.971804922352164,0.6713736078811815,Lower than Control
ZC4RG30,treatment,Low,0.514407318357055,1.09924446401708,121,29,0.646298442597366,0.971804922352164,1.672646860873302,Higher than Control
Gemella,treatment,High,-0.195798623499849,0.421463193623289,121,18,0.648238141167708,0.971804922352164,0.8221777852935297,Lower than Control
Deinococcus,treatment,High,0.567817067951421,1.26836298636816,121,58,0.659977663974114,0.971804922352164,1.7644112546190682,Higher than Control
Methylobacterium.Methylorubrum,treatment,Low,-0.354184456849262,0.809568006962477,121,59,0.667977574358499,0.971804922352164,0.7017455136500181,Lower than Control
Odoribacter,treatment,High,0.610303016819417,1.39756089791099,121,60,0.667982140031469,0.971804922352164,1.8409891649524492,Higher than Control
Acinetobacter,treatment,Low,0.44951692257015,1.03560148325198,121,121,0.669335678407418,0.971804922352164,1.5675547522345847,Higher than Control
Bradyrhizobium,treatment,High,0.488290253040975,1.1310911990185,121,41,0.671454559225549,0.971804922352164,1.6295277567246853,Higher than Control
Vibrio,treatment,High,0.222449624471786,0.522792064188832,121,13,0.675674783033048,0.971804922352164,1.2491328923364071,Higher than Control
Desulfovibrio,treatment,Low,-0.225543091405469,0.53074685315194,121,19,0.676148556767602,0.971804922352164,0.7980826692030164,Lower than Control
Lachnospiraceae.NK4A136.group,treatment,High,0.718875135804868,1.69802158184665,121,73,0.677458654160992,0.971804922352164,2.052123551553889,Higher than Control
Aquabacterium,treatment,High,-0.246902691663955,0.590504393220148,121,20,0.681167428902947,0.971804922352164,0.7812167087308773,Lower than Control
NM07.P.09,treatment,Low,0.125295290900852,0.300110012219983,121,13,0.681397663899171,0.971804922352164,1.1334831109026067,Higher than Control
Novosphingobium,treatment,Low,-0.490613829415358,1.21906392198896,121,103,0.692215511601536,0.971804922352164,0.6122504614741227,Lower than Control
Variovorax,treatment,High,0.22069704397,0.550053919408173,121,25,0.693260129079932,0.971804922352164,1.2469456036447768,Higher than Control
Variovorax,treatment,Low,-0.241086659792183,0.602495404922934,121,25,0.693934750183937,0.971804922352164,0.7857735284670324,Lower than Control
Klebsiella,treatment,Low,0.207866884142193,0.519141096630741,121,19,0.694123097288815,0.971804922352164,1.231049286459621,Higher than Control
Qipengyuania,treatment,High,-0.168470566181306,0.415490760870871,121,16,0.695180023619025,0.971804922352164,0.8449561333385593,Lower than Control
COE1,treatment,High,-0.195480385554904,0.496060073834587,121,26,0.698822339007948,0.971804922352164,0.8224394750999054,Lower than Control
Alistipes,treatment,High,0.276625247450069,0.70535666730994,121,25,0.699632342562817,0.971804922352164,1.3186721026935755,Higher than Control
Lautropia,treatment,Low,0.168327529781889,0.429479344932219,121,14,0.703007816169651,0.971804922352164,1.1833241210750234,Higher than Control
Herbaspirillum.1,treatment,Low,0.151826576031731,0.432675793372885,121,19,0.726293300043516,0.982942924299246,1.163958360649765,Higher than Control
Stenotrophomonas,treatment,Low,0.129187867973466,0.366302791023898,121,19,0.728914135272883,0.982942924299246,1.1379038797820793,Higher than Control
Lautropia,treatment,High,0.132565512744441,0.391866157682896,121,14,0.74173123751427406,0.982942924299246,1.1417538130648501,Higher than Control
Moraxella,treatment,High,-0.255736249898084,0.772505987822877,121,30,0.744923827035496,0.982942924299246,0.7743461757440331,Lower than Control
Cutibacterium,treatment,Low,-0.32845113575016,1.00507315235059,121,38,0.747558195253654,0.982942924299246,0.7200381114883857,Lower than Control
Ileibacterium,treatment,Low,0.122252792531854,0.375220963417737,121,27,0.748702488524288,0.982942924299246,1.1300397312810615,Higher than Control
Bifidobacterium,treatment,High,-0.232555510423106,0.731418241864149,121,17,0.754710957467126,0.982942924299246,0.792505755795921,Lower than Control
Pelomonas,treatment,Low,0.349707328684093,1.11985974089987,121,68,0.758615841990085,0.982942924299246,1.4186522889967,Higher than Control
Niallia,treatment,Low,-0.119026840739936,0.386497385002157,121,14,0.758658168569067,0.982942924299246,0.8877839716634535,Lower than Control
Alistipes,treatment,Low,0.236775459344471,0.771606892794972,121,25,0.762447996606343,0.982942924299246,1.2671565576647064,Higher than Control
Herbaspirillum,treatment,High,-0.215552902160091,0.715596682297259,121,39,0.766945419453678,0.982942924299246,0.8060956249303136,Lower than Control
Neisseria,treatment,High,0.107015969882696,0.373264433055003,121,18,0.777681518350124,0.982942924299246,1.1129520280507386,Higher than Control
Rikenella,treatment,High,0.21616887491911,0.767021659499276,121,34,0.781699745802911,0.982942924299246,1.241311987762866,Higher than Control
Rikenella,treatment,Low,-0.234099532594334,0.838959553649939,121,34,0.783701121172381,0.982942924299246,0.7912830535207677,Lower than Control
VGCI01,treatment,High,-0.0952001597200938,0.356197708684373,121,14,0.79276930014677,0.982942924299246,0.9091909328515113,Lower than Control
