feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lacticaseibacillus	log_reads	log_reads	-0.106987730825348	0.122504620671317	121	13	0.384782604665161	0.931122738567876
Halomonas	log_reads	log_reads	-0.204546280336373	0.262808364153677	121	52	0.438004628066368	0.935737159959968
Aquabacterium	treatment	Low	-0.512618562132082	0.645528298592838	121	20	0.437902215775696	0.935737159959968
Ralstonia	treatment	High	0.980517669713518	1.23415680034172	121	97	0.437319623779517	0.935737159959968
HGM12619	treatment	Low	0.288232864345009	0.358463425975904	121	15	0.437602073571163	0.935737159959968
CAG.485	treatment	Low	1.01353226815404	1.25399317181254	121	55	0.431381329838395	0.935737159959968
Methylophaga	treatment	High	0.625045776074142	0.825105625784261	121	34	0.459202139296213	0.946673781279815
Acinetobacter	treatment	High	0.713871411584269	0.953785923142476	121	121	0.464015434265402	0.946673781279815
Erythrobacter	treatment	Low	0.303375561325561	0.411758365034753	121	16	0.472631908232082	0.946673781279815
Qipengyuania	treatment	Low	0.338635506456185	0.454527462428274	121	16	0.475817407062566	0.946673781279815
Cryptobacteroides	treatment	High	1.1805127834968	1.61890893205474	121	67	0.476614966750473	0.946673781279815
Fimbriiglobus	treatment	Low	0.941717506311753	1.21996276396589	121	30	0.451158850823999	0.946673781279815
HGM12619	treatment	High	0.237223973590952	0.327209535679791	121	15	0.482502870881914	0.946673781279815
Gemella	log_reads	log_reads	-0.112246507963858	0.158314089970148	121	18	0.479794968615384	0.946673781279815
Turicibacter	treatment	Low	-0.315448585995402	0.416370299378974	121	16	0.461435109174395	0.946673781279815
Anaerobacillus	treatment	High	0.288329643293264	0.402876479518341	121	13	0.483407888313097	0.946673781279815
UBA7173	treatment	Low	-0.231455536938603	0.311948607460645	121	14	0.459594268437306	0.946673781279815
Muribaculum	treatment	High	0.684764825606174	0.884401904507285	121	49	0.449451784684743	0.946673781279815
Pseudomonas_E	treatment	High	0.320327372273689	0.458532911688001	121	121	0.493524853073227	0.947302445541025
Eubacterium_R	treatment	Low	-0.359185308872978	0.513757027421285	121	20	0.493806593952236	0.947302445541025
Streptococcus	treatment	High	0.144833839416303	0.206345440450277	121	14	0.493114890770102	0.947302445541025
Streptomyces	treatment	Low	-0.217653386369359	0.329713978998452	121	14	0.518096991537564	0.961206260615744
Thiomicrorhabdus	treatment	High	0.632322500065169	0.955760222989503	121	37	0.517972918003741	0.961206260615744
Limnohabitans	treatment	Low	-0.287383022223767	0.429998152560908	121	16	0.51244646112486	0.961206260615744
Klebsiella	log_reads	log_reads	-0.123929203367969	0.187890817646599	121	19	0.510934761352079	0.961206260615744
Sphingomonas	treatment	Low	0.886183930154841	1.33352877926523	121	96	0.514972843905347	0.961206260615744
Novosphingobium	treatment	High	0.72215484358128	1.11702217476642	121	103	0.526608713619686	0.965401486182199
Prevotella	treatment	High	0.324706363281751	0.501869761617493	121	28	0.527205066922194	0.965401486182199
Bosea	treatment	High	0.232650179022644	0.364927441775503	121	14	0.534016434515692	0.971565384086615
Cutibacterium	treatment	High	0.570599758328061	0.92513953276833	121	38	0.545272487294649	0.971804922352164
Streptomyces	treatment	High	-0.176861788193749	0.300841576608571	121	14	0.564527356183004	0.971804922352164
NM07.P.09	treatment	Low	0.125295290900852	0.300110012219983	121	13	0.681397663899171	0.971804922352164
Deinococcus	treatment	High	0.567817067951421	1.26836298636816	121	58	0.659977663974114	0.971804922352164
Pseudomonas	treatment	High	-0.244451889426972	0.487357438160205	121	121	0.622152232483425	0.971804922352164
ZC4RG30	treatment	Low	0.514407318357055	1.09924446401708	121	29	0.646298442597366	0.971804922352164
Variovorax	treatment	Low	-0.241086659792183	0.602495404922934	121	25	0.693934750183937	0.971804922352164
Variovorax	treatment	High	0.22069704397	0.550053919408173	121	25	0.693260129079932	0.971804922352164
